,finished,page,title,url
140,False,1,产品VP,/c101010100-p110304/
141,False,1,其他产品职位,/c101010100-p110401/
142,False,1,视觉设计,/c101010100-p120199/
143,False,1,视觉设计师,/c101010100-p120101/
144,False,1,网页设计师,/c101010100-p120102/
145,False,1,Flash设计师,/c101010100-p120103/
146,False,1,APP设计师,/c101010100-p120104/
147,False,1,UI设计师,/c101010100-p120105/
148,False,1,平面设计师,/c101010100-p120106/
149,False,1,美术设计师（2D/3D）,/c101010100-p120107/
150,False,1,广告设计师,/c101010100-p120108/
151,False,1,多媒体设计师,/c101010100-p120109/
152,False,1,原画师,/c101010100-p120110/
153,False,1,游戏特效,/c101010100-p120111/
154,False,1,游戏界面设计师,/c101010100-p120112/
155,False,1,游戏场景,/c101010100-p120113/
156,False,1,游戏角色,/c101010100-p120114/
157,False,1,游戏动作,/c101010100-p120115/
158,False,1,三维/CAD/制图,/c101010100-p120116/
159,False,1,美工,/c101010100-p120117/
160,False,1,包装设计,/c101010100-p120118/
161,False,1,设计师助理,/c101010100-p120119/
162,False,1,动画设计师,/c101010100-p120120/
163,False,1,插画师,/c101010100-p120121/
164,False,1,交互设计师,/c101010100-p120201/
165,False,1,无线交互设计师,/c101010100-p120202/
166,False,1,网页交互设计师,/c101010100-p120203/
167,False,1,硬件交互设计师,/c101010100-p120204/
168,False,1,数据分析师,/c101010100-p120301/
169,False,1,用户研究员,/c101010100-p120302/
170,False,1,游戏数值策划,/c101010100-p120303/
171,False,1,UX设计师,/c101010100-p120304/
172,False,1,用户研究经理,/c101010100-p120407/
173,False,1,用户研究总监,/c101010100-p120408/
174,False,1,高端设计职位,/c101010100-p120499/
175,False,1,设计经理/主管,/c101010100-p120401/
176,False,1,设计总监,/c101010100-p120402/
177,False,1,视觉设计经理,/c101010100-p120403/
178,False,1,视觉设计总监,/c101010100-p120404/
179,False,1,交互设计经理/主管,/c101010100-p120405/
180,False,1,交互设计总监,/c101010100-p120406/
181,False,1,非视觉设计,/c101010100-p120699/
182,False,1,服装设计,/c101010100-p120601/
183,False,1,工业设计,/c101010100-p120602/
184,False,1,橱柜设计,/c101010100-p120603/
185,False,1,家具设计,/c101010100-p120604/
186,False,1,家居设计,/c101010100-p120605/
187,False,1,珠宝设计,/c101010100-p120606/
188,False,1,室内设计,/c101010100-p120607/
189,False,1,陈列设计,/c101010100-p120608/
190,False,1,景观设计,/c101010100-p120610/
191,False,1,其他设计职位,/c101010100-p120501/
192,False,1,运营,/c101010100-p130199/
193,False,1,用户运营,/c101010100-p130101/
194,False,1,产品运营,/c101010100-p130102/
195,False,1,数据运营,/c101010100-p130103/
196,False,1,内容运营,/c101010100-p130104/
197,False,1,活动运营,/c101010100-p130105/
198,False,1,商家运营,/c101010100-p130106/
199,False,1,品类运营,/c101010100-p130107/
200,False,1,游戏运营,/c101010100-p130108/
201,False,1,网络推广,/c101010100-p130109/
202,False,1,网站运营,/c101010100-p130110/
203,False,1,新媒体运营,/c101010100-p130111/
204,False,1,社区运营,/c101010100-p130112/
205,False,1,微信运营,/c101010100-p130113/
206,False,1,微博运营,/c101010100-p130114/
207,False,1,策略运营,/c101010100-p130115/
208,False,1,线下拓展运营,/c101010100-p130116/
209,False,1,电商运营,/c101010100-p130117/
210,False,1,运营助理/专员,/c101010100-p130118/
211,False,1,内容审核,/c101010100-p130120/
212,False,1,销售运营,/c101010100-p130119/
213,False,1,编辑,/c101010100-p130299/
214,False,1,副主编,/c101010100-p130201/
215,False,1,内容编辑,/c101010100-p130202/
216,False,1,文案策划,/c101010100-p130203/
217,False,1,网站编辑,/c101010100-p130204/
218,False,1,记者,/c101010100-p130205/
219,False,1,采编,/c101010100-p130206/
220,False,1,售前咨询,/c101010100-p130301/
221,False,1,售后咨询,/c101010100-p130302/
222,False,1,网络客服,/c101010100-p130303/
223,False,1,客服经理,/c101010100-p130304/
224,False,1,客服专员/助理,/c101010100-p130305/
225,False,1,客服主管,/c101010100-p130306/
226,False,1,客服总监,/c101010100-p130307/
227,False,1,电话客服,/c101010100-p130308/
228,False,1,咨询热线/呼叫中心客服,/c101010100-p130309/
229,False,1,高端运营职位,/c101010100-p130499/
230,False,1,主编,/c101010100-p130401/
231,False,1,运营总监,/c101010100-p130402/
232,False,1,COO,/c101010100-p130403/
233,False,1,客服总监,/c101010100-p130404/
234,False,1,运营经理/主管,/c101010100-p130405/
235,False,1,其他运营职位,/c101010100-p130501/
236,False,1,选址开发,/c101010100-p140114/
237,False,1,市场营销,/c101010100-p140101/
238,False,1,市场策划,/c101010100-p140102/
239,False,1,市场顾问,/c101010100-p140103/
240,False,1,市场推广,/c101010100-p140104/
241,False,1,SEO,/c101010100-p140105/
242,False,1,SEM,/c101010100-p140106/
243,False,1,商务渠道,/c101010100-p140107/
244,False,1,商业数据分析,/c101010100-p140108/
245,False,1,活动策划,/c101010100-p140109/
246,False,1,网络营销,/c101010100-p140110/
247,False,1,海外市场,/c101010100-p140111/
248,False,1,政府关系,/c101010100-p140112/
249,False,1,APP推广,/c101010100-p140113/
250,False,1,公关媒介,/c101010100-p140299/
251,False,1,媒介经理,/c101010100-p140201/
252,False,1,广告协调,/c101010100-p140202/
253,False,1,品牌公关,/c101010100-p140203/
254,False,1,媒介专员,/c101010100-p140204/
255,False,1,活动策划执行,/c101010100-p140205/
256,False,1,媒介策划,/c101010100-p140206/
257,False,1,会务会展,/c101010100-p140599/
258,False,1,会议活动销售,/c101010100-p140501/
