,IP,PORT,位置,匿名度,响应速度,最后验证时间,类型
59,117.90.137.218,9000,江苏省镇江市  电信,高匿名,0.3,2019-08-10 09:30:54,HTTP
60,121.232.148.178,9000,中国 江苏省 镇江市 电信,高匿名,2,2019-08-10 08:31:01,HTTP
61,183.166.171.142,8888,安徽省黄山市  电信,高匿名,0.9,2019-08-10 07:31:01,HTTP
62,117.90.252.12,9000,中国 江苏省 镇江市 电信,高匿名,2,2019-08-09 23:30:58,HTTP
63,60.191.57.78,13629,浙江省杭州市  电信,高匿名,0.6,2019-08-09 22:30:57,HTTP
64,47.95.249.140,8118,北京市北京市  阿里云,高匿名,1.0,2019-08-09 21:30:51,HTTP
65,60.205.229.126,80,北京市大兴区 阿里云计算有限公司 阿里云,高匿名,1,2019-08-09 20:30:43,HTTP
66,175.42.189.17,9000,中国 福建省 三明市 联通,高匿名,1,2019-08-09 19:31:01,HTTP
67,180.118.86.79,9000,中国 江苏省 镇江市 电信,高匿名,2,2019-08-09 18:30:53,HTTP
68,45.125.32.181,3128,四川省成都市 成都阿尔法云网络科技有限公司 ,高匿名,1,2019-08-09 17:30:57,HTTP
69,180.118.86.64,9000,中国 江苏省 镇江市 电信,高匿名,1,2019-08-09 16:30:57,HTTP
70,222.72.166.235,53281,上海市嘉定区  电信,高匿名,1,2019-08-09 14:30:55,HTTP
71,121.232.148.99,9000,中国 江苏省 镇江市 电信,高匿名,0.4,2019-08-09 13:30:45,HTTP
72,122.192.175.204,9999,江苏省徐州市  联通,高匿名,2,2019-08-09 12:30:55,HTTP
73,125.73.220.18,49128,广西壮族自治区钦州市  电信,高匿名,2,2019-08-09 10:30:54,HTTP
74,122.193.247.131,9999,江苏省南通市  联通,高匿名,0.6,2019-08-09 08:30:56,HTTP
75,47.93.36.195,8118,北京市北京市  阿里云,高匿名,1,2019-08-09 07:31:01,HTTP
76,117.90.4.70,9000,中国 江苏省 镇江市 电信,高匿名,1,2019-08-09 03:30:50,HTTP
77,117.90.2.161,9000,中国 江苏省 镇江市 电信,高匿名,1,2019-08-09 01:30:53,HTTP
78,121.232.199.17,9000,中国 江苏省 镇江市 电信,高匿名,0.6,2019-08-09 00:30:42,HTTP
79,121.232.148.80,9000,中国 江苏省 镇江市 电信,高匿名,0.5,2019-08-08 23:30:59,HTTP
80,117.90.0.128,9000,中国 江苏省 镇江市 电信,高匿名,0.8,2019-08-08 22:30:54,HTTP
81,121.232.148.112,9000,中国 江苏省 镇江市 电信,高匿名,2,2019-08-08 21:30:58,HTTP
82,60.205.229.126,80,北京市大兴区 阿里云计算有限公司 阿里云,高匿名,1,2019-08-08 20:30:52,HTTP
83,182.92.233.137,8118,中国 北京市 北京市 阿里云,高匿名,2,2019-08-08 18:30:52,HTTP
84,121.232.194.97,9000,中国 江苏省 镇江市 电信,高匿名,2,2019-08-08 17:31:01,HTTP
85,180.118.135.81,9000,江苏省镇江市  电信,高匿名,0.6,2019-08-08 15:31:00,HTTP
86,211.101.154.105,43598,北京市北京市  联通,高匿名,1,2019-08-08 14:31:01,HTTP
87,183.129.207.80,13466,浙江省杭州市  电信,高匿名,1,2019-08-08 13:30:59,HTTP
88,60.190.250.120,8080,中国 浙江 杭州 电信,高匿名,0.4,2019-08-08 12:30:57,HTTP
89,113.121.43.245,9999,山东省烟台市  电信,高匿名,1.0,2019-08-08 10:30:52,HTTP
90,136.228.128.14,61158,柬埔寨 金边市  ,高匿名,1,2019-08-08 09:30:59,HTTP
91,94.191.40.157,8118,重庆市重庆市  腾讯云,高匿名,2,2019-08-08 08:31:00,HTTP
92,123.206.204.51,8118,上海市上海市 腾讯云计算（北京）有限责任公司 腾讯云,高匿名,1,2019-08-08 07:30:55,HTTP
93,47.95.249.140,8118,北京市北京市  阿里云,高匿名,0.6,2019-08-08 06:30:53,HTTP
94,183.129.207.80,12655,浙江省杭州市  电信,高匿名,2,2019-08-08 05:30:50,HTTP
95,193.112.38.11,8118,广东省广州市 腾讯云计算（北京）有限责任公司 腾讯云,高匿名,0.8,2019-08-08 02:30:54,HTTP
96,58.22.214.135,9000,中国 福建省 三明市 联通,高匿名,2,2019-08-08 01:30:59,HTTP
97,117.90.4.30,9000,中国 江苏省 镇江市 电信,高匿名,2,2019-08-07 23:30:51,HTTP
98,180.118.247.3,9000,中国 江苏省 镇江市 电信,高匿名,2,2019-08-07 22:30:59,HTTP
99,58.22.205.70,9000,中国 福建省 三明市 联通,高匿名,1,2019-08-07 19:30:53,HTTP
100,175.44.186.126,9000,福建省三明市  联通,高匿名,2,2019-08-0718:30:58,HTTP
101,112.14.47.6,52024,浙江省宁波市  移动,高匿名,2,2019-08-07 16:30:53,HTTP
102,221.6.139.154,9000,中国 江苏省 常州市 联通,高匿名,0.7,2019-08-07 15:30:54,HTTP
